,Job Role,Company,Exp,CTC,Location
16,Machine Learning Data Science Practitioner (Opening in MNC)(Bengaluru),Krazy Mantra HR Solutions Pvt. Ltd  ,12-17 Yrs,"20,00,000 - 22,50,000 PA.",Bangalore/Bengaluru
17,Manager - Data Science (Lifesciences),Spectral Consultants,4-6 Yrs,Not disclosed,"Pune, Gurgaon/Gurugram"
18,Lead - Data Science - Qliksense (4 - 6 years),CRESCENDO GLOBAL LEADERSHIP HIRING INDIA PRIVATE L IMITED,4-6 Yrs,Not disclosed,"Mumbai, Pune(WFH during Covid)"
19,Opening in Data Science Role,D-Cube Analytics Private Limited ,2-7 Yrs,Not disclosed,"Chennai, Bangalore/Bengaluru"
0,Scientific Manager - Data Science,Perfect Day,5-12 Yrs,Not disclosed,Bangalore/Bengaluru
1,Data Science Manager,Twilio,10-15 Yrs,Not disclosed,Bangalore/Bengaluru
2,ACN - Applied Intelligence - GCP - Data Science - 07,Accenture,2-7 Yrs,Not disclosed,Bangalore/Bengaluru
3,ACN - Applied Intelligence - Solutions.AI - Data Science - 11,Accenture,2-7 Yrs,Not disclosed,Bangalore/Bengaluru
4,Data Science Practice Manager,Suyati Technologies Pvt Ltd,12-17 Yrs,Not disclosed,"Kochi, Bengaluru"
5,ACN - Applied Intelligence - Solutions.AI - Data Science - 11,Accenture,2-5 Yrs,Not disclosed,Bangalore/Bengaluru
6,Team Lead/Consultant-Data Science,Accenture,7-11 Yrs,Not disclosed,Bangalore/Bengaluru
7,Data Science,Gadgeon Smart Systems Pvt Limited,5-10 Yrs,Not disclosed,"Kochi/Cochin, Bangalore/Bengaluru"
8,Team Lead/ Consultant- Data Science,Accenture,7-11 Yrs,Not disclosed,Bangalore/Bengaluru
9,Data Science Leader,CRED,6-11 Yrs,Not disclosed,Bangalore/Bengaluru
10,Team Lead - Machine Learning & Data Science,HackerEarth,3-5 Yrs,Not disclosed,Bangalore/Bengaluru
11,ACN - Applied Intelligence - Solutions.AI - Data Science - 11,Accenture,2-5 Yrs,Not disclosed,Bangalore/Bengaluru
12,Team Lead/Consultant-Data Science,Accenture,7-11 Yrs,Not disclosed,Bangalore/Bengaluru
13,ACN - Applied Intelligence - Solutions.AI - Data Science - 09,Accenture,4-9 Yrs,Not disclosed,Bangalore/Bengaluru
